fishingMethodCodeAppliedByFA	taxonID	fishingQuantityInTon	year
206	2200	NA	2003
209	2200	7 	2003
211	2200	NA	2003
212	2200	29 	2003
213	2200	NA	2003
214	2200	23 	2003
219	2200	16 	2003
221	2200	NA	2003
299	2200	NA	2003
301	2200	NA	2003
302	2200	NA	2003
303	2200	NA	2003
304	2200	3 	2003
305	2200	0 	2003
306	2200	3 	2003
307	2200	0 	2003
308	2200	NA	2003
309	2200	NA	2003
310	2200	NA	2003
399	2200	NA	2003
101	2300	0 	2003
102	2300	NA	2003
103	2300	NA	2003
104	2300	NA	2003
106	2300	NA	2003
108	2300	NA	2003
199	2300	NA	2003
201	2300	NA	2003
202	2300	NA	2003
203	2300	NA	2003
204	2300	NA	2003
205	2300	1 	2003
206	2300	NA	2003
209	2300	2 	2003
211	2300	NA	2003
212	2300	NA	2003
213	2300	NA	2003
214	2300	29 	2003
219	2300	NA	2003
221	2300	NA	2003
299	2300	NA	2003
301	2300	NA	2003
302	2300	NA	2003
303	2300	NA	2003
304	2300	3 	2003
305	2300	1 	2003
306	2300	1 	2003
307	2300	3 	2003
308	2300	1 	2003
309	2300	NA	2003
310	2300	NA	2003
399	2300	1 	2003
101	2400	475 	2003
102	2400	NA	2003
103	2400	NA	2003
104	2400	NA	2003
106	2400	NA	2003
108	2400	NA	2003
199	2400	NA	2003
201	2400	NA	2003
202	2400	NA	2003
203	2400	NA	2003
204	2400	249 	2003
205	2400	87 	2003
206	2400	NA	2003
209	2400	NA	2003
211	2400	NA	2003
212	2400	633 	2003
213	2400	NA	2003
214	2400	8 	2003
219	2400	16 	2003
221	2400	NA	2003
299	2400	2 	2003
301	2400	8 	2003
302	2400	NA	2003
303	2400	NA	2003
304	2400	28 	2003
305	2400	52 	2003
306	2400	379 	2003
307	2400	317 	2003
308	2400	1 	2003
309	2400	NA	2003
310	2400	NA	2003
399	2400	NA	2003
101	2500	561 	2003
102	2500	NA	2003
103	2500	NA	2003
104	2500	NA	2003
106	2500	NA	2003
108	2500	NA	2003
199	2500	NA	2003
201	2500	NA	2003
202	2500	NA	2003
203	2500	NA	2003
204	2500	74 	2003
205	2500	5 	2003
206	2500	NA	2003
209	2500	NA	2003
211	2500	NA	2003
212	2500	155 	2003
213	2500	NA	2003
214	2500	217 	2003
219	2500	NA	2003
221	2500	NA	2003
299	2500	0 	2003
301	2500	1 	2003
302	2500	NA	2003
303	2500	NA	2003
304	2500	53 	2003
305	2500	NA	2003
306	2500	94 	2003
307	2500	35 	2003
308	2500	4 	2003
309	2500	NA	2003
310	2500	NA	2003
399	2500	2 	2003
101	2600	1136 	2003
102	2600	NA	2003
103	2600	NA	2003
