緯度,經度,年,數量,縣市,鄉鎮,地點
24.94640059,121.3447769,2014,4,新北市,鶯歌區,尖山路 
24.94640059,121.3447769,2014,3,新北市,鶯歌區,尖山路 
24.98406553,121.3529945,2014,1,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2014,23,桃園市,龜山區,福源山步道
24.98406553,121.3529945,2014,7,桃園市,龜山區,福源山步道
24.00305,120.476313,2014,1,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2014,0,彰化縣,埔鹽鄉,稻香生態農園
24.00305,120.476313,2014,5,彰化縣,埔鹽鄉,稻香生態農園
24.967976,121.607929,2014,0,台北市,文山區,草湳(指南路298段)
24.967976,121.607929,2014,0,台北市,文山區,草湳(指南路316段)
24.967976,121.607929,2014,1,台北市,文山區,草湳(指南路334段)
24.967976,121.607929,2014,0,台北市,文山區,草湳(指南路352段)
25.119162,121.470512,2014,0,台北市,北投區,關渡自然公園
25.119162,121.470512,2014,14,台北市,北投區,關渡自然公園
25.119162,121.470512,2014,8,台北市,北投區,關渡自然公園
25.119162,121.470512,2014,7,台北市,北投區,關渡自然公園
25.119162,121.470512,2015,1,台北市,北投區,關渡自然公園
 25.167930,121.416801,2015,3,新北市,八里區,挖子尾菜園
24.98406553,121.3529945,2015,不計數,桃園市,龜山區,福源山步道
24.26398659,120.8139031,2015,4,台中市,石岡區,德興田園
24.26398659,120.8139031,2015,1,台中市,石岡區,德興田園
24.98294621,121.3373408,2015,不計數,桃園市,龜山區,鄉民農園
25.00244633,121.3971108,2015,2,桃園市,龜山區,關公嶺北天宮
23.90695646,120.5282933,2015,5,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,1,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,5,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,1,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
23.90695646,120.5282933,2015,1,彰化縣,田尾鄉,彰化縣田尾鄉民生路蕙洋園
24.20684,120.593236,2015,5,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
24.20684,120.593236,2015,1,台中市,西屯區,中都5E台中都會公園
