fishingMethodCodeAppliedByFA	year	fishingQuantityInTon
310	1998	211 
312	1998	NA
313	1998	NA
399	1998	3163 
101	1999	86431 
102	1999	NA
103	1999	200435 
104	1999	225415 
105	1999	NA
106	1999	276111 
107	1999	NA
108	1999	12541 
109	1999	NA
199	1999	23804 
201	1999	5394 
202	1999	58843 
203	1999	28376 
204	1999	58431 
205	1999	12851 
206	1999	355 
209	1999	152 
211	1999	29188 
212	1999	8380 
213	1999	504 
214	1999	1504 
219	1999	686 
221	1999	NA
222	1999	NA
223	1999	NA
299	1999	1910 
301	1999	5448 
302	1999	618 
303	1999	2749 
304	1999	15369 
305	1999	4419 
306	1999	5320 
307	1999	2549 
308	1999	803 
309	1999	380 
310	1999	291 
312	1999	NA
313	1999	NA
399	1999	2212 
101	2000	86850 
102	2000	NA
103	2000	231055 
104	2000	240157 
105	2000	NA
106	2000	253574 
107	2000	NA
108	2000	27868 
109	2000	NA
199	2000	23971 
201	2000	4141 
202	2000	26941 
203	2000	23727 
204	2000	55946 
205	2000	12139 
