year	taxonID	vernacularName	scientificName	notesToScientificName	taxonRank	SAU1	SAU2	notesToSAU2	Chang1	FB	FBthenSAU2	SAU2thenFB	FBthenSAU2Modified	notesToFBthenSAU2Modified	SAU2thenFBModified	notesToSAU2thenFBModified
2013	6499	其他蟳蟹類	Decapoda	原文件中無此目級註記，此乃根據原文件中 "Other crabs" 所做的判斷。	order	3.43	3.43		NA	NA	3.43	3.43	3.43		3.43	
2013	6501	牡蠣	Crassostrea gigas		species	2	2		NA	NA	2	2	2		2	
2013	6502	文蛤	Meretrix lusoria		species	2	2		2	NA	2	2	2		2	
2013	6503	蜊	Corbicula flumined		species	NA	2.1	map to phylum rank	NA	NA	2.1	2.1	2.1		2.1	
2013	6504	血蚶	Anadara granosa		species	NA	2.1	map to phylum rank	NA	NA	2.1	2.1	2.1		2.1	
2013	6507	九孔	Haliotis aqualilis		species	NA	2.1	map to phylum rank	NA	NA	2.1	2.1	2.1		2.1	
2013	6508	鳳螺	Babylonia formosae		species	NA	2.1	map to phylum rank	NA	NA	2.1	2.1	2.1		2.1	
2013	6511	西施貝	Hiatula diphos		species	NA	2.1	map to phylum rank	NA	NA	2.1	2.1	2.1		2.1	
2013	6512	日月貝	Amusium pleuronectes		species	NA	2.1	map to phylum rank	NA	NA	2.1	2.1	2.1		2.1	
2013	6513	蜆	Corbicula fluminea		species	NA	NA		NA	NA	NA	NA	NA		NA	
2013	6599	其他貝類	Mollusca	原文件中無此門級註記	phylum	2.1	2.1		NA	NA	2.1	2.1	2.1		2.1	
2013	6601	牛蛙	Rana catesbeiana		species	NA	NA		NA	NA	NA	NA	NA		NA	
2013	6602	花跳	Boleophthalmus pectinirostris		species	NA	3.53	map to order rank	NA	2	2	3.53	2		3.53	
2013	6603	鱉	Trionyx sinensis		species	NA	NA		NA	NA	NA	NA	NA		NA	
2013	6604	鱷魚	Alligator mississippiensis		species	NA	NA		NA	NA	NA	NA	NA		NA	
2013	6605	鱉蛋	NA		species	NA	NA		NA	NA	NA	NA	NA		NA	
2013	6700	海膽	Tripneutes gratilla		species	NA	2.3	map to phylum rank	NA	NA	2.3	2.3	2.3		2.3	
2013	6800	海參	Stichopus japonicus		species	NA	2.3	map to phylum rank	NA	NA	2.3	2.3	2.3		2.3	
2013	6900	珊瑚	Corallium japonicume	此學名可能有誤	species	NA	NA		NA	NA	NA	NA	NA		NA	
2016	7000	觀賞魚類	NA		NA	NA	NA		NA	NA	NA	NA	NA		NA	
