_海洋保護區或其子區的名稱	_所屬的海洋保護區	_法令依據	_提報機關	_管理機關	_地理圖資的類型	_原始的座標點位	_以Excel統一座標的格式	decimalLatitude	decimalLongitude
小港漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"23°09'27.4''N;121°24'24""""E"	23°09'27.4sN 121°24'24sE	23.1576111111111	121.406666666667
宜灣漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"23°12'20.7""""N;121°23'47.4""""E"	23°12'20.7sN 121°23'47.4sE	23.20575	121.3965
宜灣漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"23°12'19.2""""N;121°23'54.1""""E"	23°12'19.2sN 121°23'54.1sE	23.2053333333333	121.398361111111
宜灣漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"23°11'22.9""""N;121°23'51.2""""E"	23°11'22.9sN 121°23'51.2sE	23.1896944444444	121.397555555556
宜灣漁業資源保育區		漁業法	漁業署	臺東縣政府	POLYGON	"23°11'23.9''N;121°23'58.1""""E"	23°11'23.9sN 121°23'58.1sE	23.1899722222222	121.399472222222
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'46.6"""" N;121°11'20.9 """"E"	22°50'46.6sN 121°11'20.9 sE	22.8462777777778	121.189138888889
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'45.6"""" N;121°11'38.5 """"E"	22°50'45.6sN 121°11'38.5 sE	22.846	121.194027777778
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'18.9"""" N;121°11'18.5 """"E"	22°50'18.9sN 121°11'18.5 sE	22.8385833333333	121.188472222222
富山漁業資源保育區永續使用區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'17.1"""" N;121°11'36 """"E"	22°50'17.1sN 121°11'36 sE	22.8380833333333	121.193333333333
富山漁業資源保育區核心區	富山漁業資源保育區	漁業法	漁業署	臺東縣政府	POLYGON	"22°50'18.9"""" N;121°11'18.5 """"E"	22°50'18.9sN 121°11'18.5 sE	22.8385833333333	121.188472222222
