599	其他內陸漁撈	-	-	-	-	-	-	-	-	-	-	-	-
600	內陸養殖合計	60,323	1,444,202	61,903	2,239,066	82,577	3,397,891	85,094	3,984,034	96,263	5,464,204	104,524	5,792,042
601	鹹水魚塭	34,584	680,838	30,716	672,683	40,288	1,303,851	39,948	1,255,632	44,652	1,493,488	39,818	1,439,456
602	淡水魚塭	19,112	661,751	24,962	1,470,130	36,032	2,263,649	38,605	2,610,981	44,386	3,821,032	56,196	4,175,305
603	箱網養殖	-	-	-	-	-	-	-	-	-	-	-	-
604	觀賞魚養殖	-	-	-	-	-	-	-	-	-	-	-	-
699	其他內陸養殖	6,627	101,614	6,226	96,254	6,258	103,392	6,541	117,422	7,225	149,683	8,510	177,281
													
													
	年別	民國六十六年		民國六十七年		民國六十八年		民國六十九年		民國七十年		民國七十一年	
代碼	Year	1977		1978		1979		1980		1981		1982	
Code	漁業種類	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值
	Type of Fishery	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value
0	總計	854,914	2,886,140	885,044	31,807,551	929,326	38,974,138	936,336	45,010,229	911,678	50,351,120	922,520	56,102,303
100	遠洋漁業合計	337,222	9,020,886	331,152	8,679,810	341,911	10,687,691	350,425	13,407,911	321,567	15,235,194	316,692	16,337,141
101	單船拖網	60,629	1,087,955	70,465	1,242,654	78,662	1,849,115	84,926	2,320,948	70,601	2,499,538	61,484	2,786,258
102	雙船拖網	144,155	2,497,774	130,910	2,110,859	127,775	2,537,534	112,248	2,681,893	119,490	4,247,917	77,141	3,229,494
103	鰹鮪圍網	-	-	-	-	-	-	-	-	-	-	4,299	144,022
104	鮪延繩釣	122,527	5,116,233	108,763	4,644,863	108,650	5,207,430	119,635	6,653,863	94,926	6,547,221	108,117	6,699,297
105	大目流刺網	-	-	-	-	-	-	-	-	-	-	36,006	1,824,161
106	魷釣	-	-	-	-	-	-	-	-	-	-	24,036	1,442,616
107	魷魚流刺網	-	-	-	-	-	-	-	-	-	-	-	-
108	秋刀魚火誘網	-	-	-	-	-	-	-	-	-	-	-	-
109	珊瑚	-	-	-	-	-	-	-	-	-	-	-	-
199	其他遠洋漁業	9,913	318,924	21,014	681,434	26,824	1,093,614	33,616	1,751,207	36,550	1,940,518	5,609	211,293
200	近海漁業合計	324,379	8,647,651	355,094	9,151,929	364,708	12,180,294	370,906	15,089,241	346,203	16,584,578	345,471	17,084,650
201	巾著網	36,783	679,486	37,048	909,115	25,964	1,473,274	25,620	1,394,710	33,397	2,373,899	24,364	1,099,906
202	鯖 圍 網	2,189	40,492	3,990	75,893	20,358	254,544	19,918	314,780	17,213	363,560	23,444	682,772
203	火誘網	21,680	533,709	17,840	514,839	26,318	702,768	19,139	522,819	23,735	936,072	24,745	914,439
204	中小型拖網	187,738	4,361,792	208,756	4,245,109	206,660	5,594,799	220,289	8,212,651	187,078	7,397,733	188,324	9,026,695
205	刺網	15,743	478,780	15,720	645,858	18,058	837,262	19,895	1,010,181	19,453	1,116,604	17,852	1,021,320
206	追逐網	760	13,417	653	12,082	903	16,466	777	15,969	626	15,693	388	10,311
209	其他網	-	-	-	-	-	-	-	-	-	-	-	-
211	鮪延繩釣	49,811	1,746,119	43,010	1,869,602	42,222	2,209,038	39,047	2,167,057	32,116	2,462,302	34,093	2,753,268
212	鯛及雜魚延繩釣	17,138	466,452	16,441	418,511	16,870	487,957	17,534	664,443	21,928	879,075	23,162	1,035,792
213	曳繩釣	2,052	51,840	7,378	175,180	3,694	117,065	3,972	121,326	5,370	208,181	5,642	227,948
214	一支釣	7,216	135,007	3,827	93,007	2,810	87,292	3,174	116,453	3,136	128,268	2,803	119,360
219	其他釣	185	4,174	190	4,429	36	722	267	5,844	218	7,800	150	5,645
221	珊瑚	53	116,810	62	183,080	109	383,180	138	510,700	277	582,380	62	170,775
222	飛魚卵漁業	-	-	-	-	-	-	-	-	-	-	-	-
223	扒網漁業	-	-	-	-	-	-	-	-	-	-	-	-
299	其他近海漁業	1,032	18,574	178	5,224	706	15,927	1,136	32,308	1,659	113,011	442	16,419
300	沿岸漁業合計	33,079	984,378	32,024	1,112,360	36,380	1,287,942	37,295	1,348,626	39,265	1,922,721	41,095	2,166,655
301	定置網	2,979	95,869	2,841	79,996	3,268	126,681	3,716	124,055	4,432	205,739	4,363	168,899
302	地曳網	3,833	91,829	3,774	87,034	2,423	56,787	3,057	87,180	2,311	75,203	2,235	88,180
303	火誘網	3,597	105,808	1,642	42,585	1,242	35,273	1,269	37,993	2,427	83,605	2,788	112,891
304	刺網	8,682	206,723	9,765	263,408	10,431	352,486	10,957	371,666	11,492	479,439	13,468	629,801
305	其他網	1,578	42,241	1,263	35,913	1,625	36,241	1,140	34,440	1,360	73,806	1,168	83,622
306	一支釣	1,689	33,528	2,033	37,907	2,180	40,767	2,314	51,811	2,275	75,644	2,207	89,305
307	延繩釣	1,593	41,454	1,490	39,097	1,312	38,336	1,177	45,157	1,648	85,689	1,900	96,805
308	其他釣	-	-	-	-	-	-	-	-	-	-	-	-
309	鏢旗魚	2,563	118,112	2,424	112,775	6,451	201,563	7,220	236,462	5,858	318,179	4,483	209,449
310	遊漁	-	-	-	-	-	-	-	-	-	-	-	-
312	櫻花蝦漁業	-	-	-	-	-	-	-	-	-	-	-	-
313	鱙漁業	-	-	-	-	-	-	-	-	-	-	-	-
399	其他沿岸漁業	6,565	248,813	6,792	413,645	7,449	399,809	6,445	359,862	7,462	525,417	8,483	687,703
400	海面養殖合計	31,039	1,379,894	32,795	2,010,289	31,498	2,461,155	29,988	2,869,542	31,002	3,243,345	35,835	3,863,549
401	淺海養殖	31,039	1,379,894	32,795	2,010,289	31,498	2,461,155	29,988	2,869,542	31,002	3,243,345	35,835	3,863,549
402	箱網養殖	-	-	-	-	-	-	-	-	-	-	-	-
499	其他海面養殖	-	-	-	-	-	-	-	-	-	-	-	-
500	內陸漁撈合計	2,593	76,135	2,369	66,582	2,640	89,139	2,701	93,711	2,715	115,654	2,827	129,376
501	河川漁撈	2,593	76,135	2,369	66,582	2,640	89,139	2,701	93,711	2,715	115,654	2,827	129,376
502	水庫漁撈	-	-	-	-	-	-	-	-	-	-	-	-
599	其他內陸漁撈	-	-	-	-	-	-	-	-	-	-	-	-
600	內陸養殖合計	108,601	8,177,196	131,610	10,786,581	152,190	12,267,917	145,021	12,201,198	170,924	13,249,628	180,601	16,520,932
601	鹹水魚塭	38,466	2,241,434	50,317	2,811,301	52,574	3,694,575	37,098	3,029,223	47,299	4,325,002	51,044	5,315,523
602	淡水魚塭	61,428	5,732,289	71,665	7,719,226	90,142	8,298,407	96,901	8,803,843	111,764	8,478,271	117,531	10,734,798
603	箱網養殖	-	-	-	-	-	-	-	-	-	-	-	-
604	觀賞魚養殖	-	-	-	-	-	-	-	-	-	-	-	-
699	其他內陸養殖	8,708	203,473	9,628	256,054	9,474	274,935	11,022	368,132	11,861	446,355	12,027	470,611
													
													
	年別	民國七十二年		民國七十三年		民國七十四年		民國七十五年		民國七十六年		民國七十七年	
代碼	Year	1983		1984		1985		1986		1987		1988	
Code	漁業種類	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值	產量	價值
	Type of Fishery	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value	Quantity	Value
0	總計	930,582	62,012,254	1,002,599	64,376,359	1,037,721	66,892,998	1,094,587	75,280,057	1,236,170	85,954,761	1,360,868	88,135,708
100	遠洋漁業合計	319,888	17,134,339	369,448	19,701,154	413,692	21,523,827	463,376	23,468,364	573,933	28,554,528	699,266	31,990,811
101	單船拖網	60,590	2,966,092	76,426	3,524,843	90,509	4,131,459	91,780	4,247,416	93,896	4,893,318	133,160	5,569,964
102	雙船拖網	71,997	3,232,127	80,741	3,465,862	72,141	3,483,365	87,750	3,974,538	108,575	4,572,982	126,842	4,902,588
103	鰹鮪圍網	10,015	413,536	8,199	344,527	22,326	817,519	17,984	463,591	32,647	882,588	82,183	2,344,386
104	鮪延繩釣	113,636	6,712,615	114,377	7,361,435	119,232	7,297,042	151,233	9,187,374	146,414	9,034,088	147,615	9,658,901
105	大目流刺網	25,869	1,279,290	42,063	2,059,225	55,512	2,601,393	46,282	2,272,987	67,930	3,209,076	62,146	3,019,468
106	魷釣	37,330	22,519,326	44,218	2,863,085	48,966	3,018,033	50,495	2,892,114	115,249	5,794,910	129,177	6,170,679
107	魷魚流刺網	-	-	-	-	-	-	-	-	-	-	-	-
108	秋刀魚火誘網	-	-	-	-	-	-	-	-	-	-	-	-
109	珊瑚	-	-	-	-	-	-	-	-	-	-	-	-
199	其他遠洋漁業	451	11,353	3,424	82,176	5,006	175,016	17,852	430,344	9,222	167,567	18,143	324,825
200	近海漁業合計	320,495	17,981,542	334,131	17,704,175	316,417	17,099,790	306,179	17,406,133	300,649	18,823,566	308,114	18,793,740
201	巾著網	20,977	1,246,418	21,567	826,532	34,014	1,707,728	29,759	1,455,885	27,910	1,114,421	22,937	723,897
202	鯖 圍 網	20,432	507,954	30,297	829,191	28,054	749,186	34,027	1,150,069	23,036	345,550	32,434	617,865
203	火誘網	20,951	794,031	18,442	546,847	23,345	667,548	18,930	845,765	20,818	904,980	21,118	1,150,788
204	中小型拖網	176,176	9,835,017	183,520	9,614,847	150,233	8,220,314	152,505	8,726,598	148,722	10,181,777	147,823	9,509,682
205	刺網	14,918	927,358	16,478	950,439	18,643	961,596	21,167	1,356,915	19,314	1,130,577	23,827	2,205,060
206	追逐網	863	23,348	738	17,691	1,039	24,369	342	7,983	499	11,302	454	10,807
209	其他網	-	-	-	-	-	-	-	-	-	-	-	-
211	鮪延繩釣	34,153	2,804,102	32,437	2,833,355	26,502	2,591,791	20,239	2,057,732	34,110	3,328,320	34,523	2,558,753
212	鯛及雜魚延繩釣	20,791	1,064,483	20,246	1,195,703	22,341	1,063,845	19,667	1,006,207	19,235	1,267,909	19,072	1,278,833
