採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2010/8/22 下午 12:26:00,6093,29.1,8.2,0.45,27.0,6.3,0.03,0.01,<0.001,33.8,0.188,6.4,99.4,0.025,1000,120
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2010/8/22 下午 12:18:00,6092,29.1,8.2,0.45,27.0,6.3,0.02,<0.01,<0.001,33.8,0.200,6.2,99.2,0.011,390,63
觀音亭,觀音亭右,甲,2010/8/22 下午 12:13:00,6263,30.4,8.2,11,34.8,7.4,0.01,<0.01,0.002,33.6,0.241,7.1,119.0,0.005,15,10
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2010/8/22 下午 12:10:00,6091,28.6,8.2,1.2,27.0,6.4,0.03,0.01,<0.001,33.5,0.202,6.4,99.3,0.020,440,130
觀音亭,觀音亭中,甲,2010/8/22 下午 12:08:00,6262,30.4,8.1,1.1,34.8,7.5,<0.01,<0.01,0.002,33.6,0.325,7.1,119.8,0.015,10,<10
觀音亭,觀音亭左,甲,2010/8/22 下午 12:00:00,6261,30.2,8.2,0.80,34.8,7.3,0.01,0.01,0.002,33.6,0.311,7.1,115.9,0.012,<10,<10
船帆石,船帆石右,甲,2010/8/22 上午 11:28:00,6233,28.8,8.2,1.2,26.6,6.0,0.02,0.05,0.002,33.3,0.258,6.1,94.6,0.011,160,52
船帆石,船帆石中,甲,2010/8/22 上午 11:20:00,6232,29.2,8.2,1.3,26.6,5.9,<0.01,0.06,0.002,33.6,0.230,5.9,92.8,0.020,230,31
山水沙灘,山水沙灘右,甲,2010/8/22 上午 11:17:00,6163,29.8,8.2,0.55,34.6,6.3,0.02,0.01,0.002,33.6,0.233,6.1,98.8,0.015,<10,20
船帆石,船帆石左,甲,2010/8/22 上午 11:12:00,6231,28.9,8.2,1.2,26.6,5.9,<0.01,0.03,0.002,33.0,0.237,6.0,91.7,0.010,200,41
山水沙灘,山水沙灘中,甲,2010/8/22 上午 11:10:00,6162,29.8,8.2,0.40,34.6,6.3,0.02,0.01,0.002,33.6,0.222,6.1,99.7,0.012,<10,<10
山水沙灘,山水沙灘左,甲,2010/8/22 上午 11:03:00,6161,29.9,8.1,0.40,34.6,6.3,<0.01,0.02,0.002,33.6,0.239,6.0,98.9,0.015,<10,20
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2010/8/22 上午 10:48:00,6062,32.1,8.2,3.6,33.7,6.4,0.05,<0.01,<0.001,33.7,0.188,6.1,105.5,0.025,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2010/8/22 上午 10:38:00,6061,31.8,8.1,3.6,33.7,6.4,<0.01,0.01,<0.001,33.8,0.165,6.3,104.2,0.027,<10,<10
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2010/8/22 上午 10:25:00,6063,31.3,8.1,3.7,33.7,6.6,0.03,<0.01,<0.001,33.8,0.181,6.5,108.2,0.025,<10,10
中澳沙灘,中澳沙灘右,甲,2010/8/22 上午 10:25:00,6223,28.9,8.2,0.50,29.2,5.2,0.04,0.03,0.003,32.9,0.207,5.2,79.8,0.043,140,<10
林投公園,林投公園右,甲,2010/8/22 上午 10:22:00,6273,31.2,8.1,3.6,33.4,6.2,<0.01,0.01,0.002,33.5,0.244,6.0,99.8,0.006,<10,31
港口海灘,港口海灘右,甲,2010/8/22 上午 10:17:00,6253,28.0,8.2,38,26.9,6.8,0.01,0.05,0.004,25.8,2.03,6.8,100.5,0.021,4900,8700
