採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,採樣深度,氣溫,水溫,鹽度,酸鹼值,溶氧(滴定法),溶氧(電極法),溶氧飽和度,懸浮固體,葉綠素a,氨氮,硝酸鹽氮,正磷酸鹽,亞硝酸鹽氮,矽酸鹽,鎘,鉻,銅,鋅,鉛,汞,備註
,,,,,m,℃,℃,psu,,mg/L,mg/L,%,mg/L,μg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
新竹香山沿海海域,鳳山溪北側,乙,2006/8/8 上午 11:58:00,5143,1.0,29.4,29.8,33.7,8.3,6.5,6.8,108.5,4.3,3.2,<0.02,<0.01,<0.004,0.001,0.14,0.000012,0.001020,0.001950,0.001360,0.000420,<0.0003
新竹香山沿海海域,鳳山溪北側,乙,2006/5/5 上午 11:45:00,5143,1.0,31.6,26.7,26.5,8.3,6.7,7.0,101.5,18.0,1.8,0.10,0.22,0.077,0.012,2.87,0.000083,<0.0010,0.0010,0.0036,0.000881,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2006/11/9 上午 11:39:00,5144,1.0,28.4,25.9,35.2,8.1,6.6,6.5,96.4,4.8,0.4,<0.02,0.02,0.012,0.009,0.18,<0.000001,0.001430,0.000534,0.002330,0.000200,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2006/8/8 上午 11:43:00,5144,1.0,32.1,30.4,33.7,8.3,6.6,6.6,104.4,6.8,1.1,<0.02,<0.01,0.005,0.001,0.10,0.000012,<0.001000,0.000261,0.002900,0.000591,<0.0003
新竹香山沿海海域,客雅溪河口外4海浬處,乙,2006/5/5 上午 11:30:00,5144,1.0,31.4,27.3,33.8,8.3,7.5,7.6,116.6,3.0,1.0,0.03,<0.01,<0.004,<0.001,0.08,0.000016,<0.0010,0.0003,0.0038,<0.0002,<0.0003
新竹香山沿海海域,紅毛港外,乙,2006/11/9 上午 10:52:00,5145,1.0,27.9,24.7,34.4,8.1,6.9,6.8,98.0,6.1,1.0,0.03,0.14,0.048,0.017,0.38,0.000024,0.001350,0.001820,0.006750,0.000547,<0.0003
新竹香山沿海海域,紅毛港外,乙,2006/8/8 上午 10:55:00,5145,1.0,33.1,30.6,33.5,8.2,6.8,6.7,108.4,7.4,2.2,<0.02,<0.01,0.005,0.001,0.06,0.000015,<0.001000,0.001580,0.002010,0.000322,<0.0003
新竹香山沿海海域,紅毛港外,乙,2006/5/5 上午 10:40:00,5145,1.0,29.1,27.2,34.1,8.2,6.4,6.6,101.3,7.5,2.1,0.04,0.02,0.032,0.004,0.13,0.000012,<0.0010,0.0008,0.0039,<0.0002,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2006/11/7 上午 11:27:00,5146,1.0,23.2,21.8,33.5,8.2,6.7,6.8,93.5,3.0,0.5,0.04,0.05,0.009,0.005,0.57,<0.000001,0.001430,0.001130,0.001490,<0.0002,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2006/8/31 上午 10:20:00,5146,1.0,33.0,29.6,34.7,8.2,6.3,6.2,99.2,6.0,0.2,0.04,0.01,0.009,0.002,0.23,0.000013,<0.001000,0.000268,0.003020,0.000562,<0.0003
宜蘭蘇澳沿海海域    ,龜山島,甲,2006/5/24 上午 10:30:00,5146,1.0,26.7,23.5,33.2,8.2,6.5,6.1,87.1,5.4,0.2,0.03,0.09,0.031,0.010,0.96,0.000013,<0.0010,0.0003,0.0017,<0.0002,<0.0003
宜蘭蘇澳沿海海域    ,得子口溪口,甲,2006/11/7 上午 10:52:00,5147,1.0,23.5,21.8,34.1,8.2,6.7,6.7,93.6,4.1,1.0,0.10,0.06,<0.004,0.004,0.59,<0.000001,0.001280,0.000865,0.001450,<0.0002,<0.0003
宜蘭蘇澳沿海海域    ,得子口溪口,甲,2006/8/31 上午 09:55:00,5147,1.0,32.5,29.5,35.3,8.2,6.2,6.1,98.4,4.8,0.2,0.10,0.01,0.006,0.002,0.65,0.000022,0.001050,0.000916,0.004870,0.000533,<0.0003
宜蘭蘇澳沿海海域    ,得子口溪口,甲,2006/5/24 上午 10:08:00,5147,1.0,26.4,25.1,32.8,8.2,6.6,6.8,99.5,<2.0,0.2,0.03,0.15,0.025,0.004,0.30,0.000015,<0.0010,0.0009,0.0027,0.000201,<0.0003
宜蘭蘇澳沿海海域    ,蘭陽溪口,甲,2006/11/7 上午 09:48:00,5148,1.0,23.0,23.5,33.4,8.2,6.5,6.5,92.9,3.0,0.7,0.04,0.05,0.006,0.002,0.46,<0.000001,0.001260,0.000940,0.001640,<0.0002,<0.0003
宜蘭蘇澳沿海海域    ,蘭陽溪口,甲,2006/8/31 上午 09:02:00,5148,1.0,32.5,28.6,33.6,8.2,6.3,6.2,96.7,4.2,0.4,0.10,0.03,0.009,0.004,1.15,0.000021,0.001040,0.000468,0.004270,0.000452,<0.0003
宜蘭蘇澳沿海海域    ,蘭陽溪口,甲,2006/5/24 上午 09:12:00,5148,1.0,25.4,24.1,32.6,8.2,6.7,6.8,97.8,2.1,0.2,0.02,0.15,0.031,0.003,1.04,0.000014,<0.0010,0.0006,0.0024,<0.0002,0.0004
宜蘭蘇澳沿海海域    ,新城溪口,甲,2006/11/7 上午 08:40:00,5149,1.0,23.4,21.7,32.6,8.1,6.8,6.9,95.1,3.7,0.6,0.09,0.09,0.006,0.003,0.77,<0.000001,<0.001000,0.001350,0.001670,0.000201,<0.0003
宜蘭蘇澳沿海海域    ,新城溪口,甲,2006/8/31 上午 08:30:00,5149,1.0,31.8,28.6,33.6,8.2,6.2,6.2,96.9,2.6,0.5,0.05,0.04,0.006,0.004,0.80,0.000057,0.001050,0.001710,0.004870,0.000225,<0.0003
宜蘭蘇澳沿海海域    ,新城溪口,甲,2006/5/24 上午 08:37:00,5149,1.0,24.5,24.0,32.1,8.2,6.8,6.9,99.1,7.4,0.3,<0.02,0.07,0.028,0.005,0.75,0.000014,<0.0010,0.0007,0.0031,<0.0002,<0.0003
宜蘭蘇澳沿海海域    ,蘇澳港,甲,2006/11/7 上午 08:00:00,5150,1.0,22.5,25.7,30.7,8.2,6.6,6.5,95.0,<2.0,0.4,0.04,0.03,<0.004,<0.001,0.39,<0.000001,0.001070,0.001830,0.001490,<0.0002,<0.0003
宜蘭蘇澳沿海海域    ,蘇澳港,甲,2006/8/31 上午 07:59:00,5150,1.0,31.5,28.0,33.7,8.2,6.9,6.9,106.3,5.0,0.6,0.09,0.02,<0.004,0.003,0.76,0.000037,0.001090,0.000640,0.002570,0.000334,0.0004
宜蘭蘇澳沿海海域    ,蘇澳港,甲,2006/5/24 上午 08:05:00,5150,1.0,24.5,23.1,32.9,8.2,6.4,6.5,91.7,5.3,0.2,0.02,0.07,0.043,0.008,0.74,0.000015,<0.0010,0.0004,0.0029,0.000202,0.0004
花蓮沿海海域,和平溪河口,甲,2006/11/5 下午 12:23:00,5151,1.0,28.3,26.7,32.0,8.2,6.5,6.7,98.6,19.4,0.8,0.05,0.01,<0.004,<0.001,0.50,<0.000001,<0.001000,0.000666,0.001380,<0.0002,<0.0003
花蓮沿海海域,和平溪河口,甲,2006/8/29 上午 10:45:00,5151,1.0,32.1,28.5,31.2,8.2,6.4,6.4,97.7,21.5,<0.1,0.07,0.06,0.006,0.002,1.11,0.000020,<0.001000,0.000479,0.004410,0.000489,<0.0003
花蓮沿海海域,和平溪河口,甲,2006/5/22 上午 10:45:00,5151,1.0,26.8,26.0,32.4,8.2,6.9,6.8,101.0,2.8,0.5,0.02,0.18,<0.004,0.002,0.38,0.000012,<0.0010,0.0006,0.0029,0.000228,0.0006
花蓮沿海海域,和平溪口外4海浬處,甲,2006/11/5 上午 11:40:00,5152,1.0,28.4,27.0,33.1,8.2,6.5,6.7,98.9,2.3,0.4,0.06,<0.01,0.009,0.001,0.22,<0.000001,0.001060,0.000831,0.001840,<0.0002,<0.0003
花蓮沿海海域,和平溪口外4海浬處,甲,2006/8/29 上午 10:04:00,5152,1.0,32.4,29.6,33.5,8.2,6.3,6.4,100.0,<2,<0.1,0.06,0.02,0.006,0.002,0.48,0.000035,<0.001000,0.002290,0.001980,0.000732,<0.0003
花蓮沿海海域,和平溪口外4海浬處,甲,2006/5/22 上午 10:02:00,5152,1.0,26.7,26.3,33.6,8.2,7.0,7.2,108.4,3.3,0.3,0.04,0.11,0.009,<0.001,0.41,0.000026,<0.0010,0.0005,0.0052,<0.0002,0.0005
花蓮沿海海域,和平港,甲,2006/11/5 下午 12:50:00,5153,1.0,28.5,26.9,33.2,8.2,6.4,6.5,98.2,2.3,0.5,0.03,<0.01,0.012,0.002,0.32,<0.000001,0.001180,0.000600,0.001550,<0.0002,<0.0003
花蓮沿海海域,和平港,甲,2006/8/29 上午 11:06:00,5153,1.0,32.3,29.0,33.6,8.2,6.4,6.4,98.7,2.5,<0.1,0.07,0.03,0.012,0.002,0.68,0.000011,<0.001000,0.000335,0.002040,0.000517,<0.0003
花蓮沿海海域,和平港,甲,2006/5/22 上午 11:07:00,5153,1.0,27.1,25.8,33.8,8.2,6.9,6.7,99.9,2.7,0.6,0.05,0.06,0.043,<0.001,0.42,0.000022,<0.0010,0.0006,0.0053,0.000316,<0.0003
