採樣分區,測站名稱,水體分類等級,採樣日期,測站編號,水溫,酸鹼值,濁度,氣溫,溶氧(電極法),氨氮,硝酸鹽氮,亞硝酸鹽氮,鹽度,矽酸鹽,溶氧(滴定法),溶氧飽和度,正磷酸鹽,大腸桿菌群,腸球菌群,備註
,,,,,℃,,NTU,℃,mg/L,mg/L,mg/L,mg/L,psu,mg/L,mg/L,%,mg/L,CFU/100mL,MPN/100mL
馬沙溝海水浴場,馬沙溝海水浴場右,甲,2002/8/12 上午 07:15:00,6063,29.3,8.17,15,--,--,--,<0.05,0.008,32.3,0.68,--,--,0.018,220,124
馬沙溝海水浴場,馬沙溝海水浴場中,甲,2002/8/12 上午 06:55:00,6062,29,8.17,14,--,--,--,<0.05,0.008,32.3,0.48,--,--,0.018,250,53
馬沙溝海水浴場,馬沙溝海水浴場左,甲,2002/8/12 上午 06:30:00,6061,28.8,8.16,15,--,--,--,<0.05,0.008,32.3,0.58,--,--,0.018,130,64
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2002/8/12 上午 06:06:00,6093,27.9,8.17,10,--,--,--,<0.05,<0.001,33.1,0.43,--,--,<0.008,200,20
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2002/8/12 上午 05:58:00,6092,27.9,8.16,6.5,--,--,--,<0.05,<0.001,33.1,0.34,--,--,<0.008,240,31
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域左,甲,2002/8/12 上午 05:50:00,6091,27.9,8.16,10,--,--,--,<0.05,0.005,33.1,0.63,--,--,<0.008,6000,1650
杉原海水浴場,杉原海水浴場右,甲,2002/8/11 下午 06:27:00,6103,29.1,8.15,50,--,--,--,<0.05,0.003,31.8,0.34,--,--,<0.008,2100,288
杉原海水浴場,杉原海水浴場中,甲,2002/8/11 下午 06:21:00,6102,29.1,8.16,33,--,--,--,<0.05,0.002,31.8,0.68,--,--,<0.008,2800,306
杉原海水浴場,杉原海水浴場左,甲,2002/8/11 下午 06:15:00,6101,29.1,8.16,24,--,--,--,<0.05,0.001,31.8,0.53,--,--,<0.008,370,99
新金山海水浴場,新金山海水浴場右,乙,2002/7/29 下午 01:26:00,6023,29.2,6.6,15,--,--,--,0.14,0.006,32.3,0.98,--,--,0.032,<10,31
新金山海水浴場,新金山海水浴場中,乙,2002/7/29 下午 01:18:00,6022,29.1,6.7,16,--,--,--,0.05,0.007,32.1,0.94,--,--,0.041,<10,<10
新金山海水浴場,新金山海水浴場左,乙,2002/7/29 下午 01:10:00,6021,29.2,6.7,16,--,--,--,0.07,0.006,32,0.84,--,--,0.028,<10,20
崎頂海水浴場,崎頂海水浴場右,乙,2002/7/29 下午 12:15:00,6033,30.8,8.1,9.6,--,--,--,0.05,0.003,33.9,2.37,--,--,0.013,10,10
崎頂海水浴場,崎頂海水浴場中,乙,2002/7/29 下午 12:00:00,6032,30.8,8.1,9.2,--,--,--,0.05,0.005,33.9,2.53,--,--,0.016,5,20
崎頂海水浴場,崎頂海水浴場左,乙,2002/7/29 上午 11:45:00,6031,30.7,8.1,9.4,--,--,--,0.05,0.004,33.9,2.81,--,--,0.015,<10,20
福隆海水浴場,福隆海水浴場右,乙,2002/7/29 上午 11:10:00,6013,28.5,7.3,1.7,--,--,--,0.12,0.004,30.6,0.54,--,--,0.014,<10,10
福隆海水浴場,福隆海水浴場中,乙,2002/7/29 上午 11:02:00,6012,28.5,7.2,1.7,--,--,--,0.1,0.002,30.1,0.6,--,--,0.008,15,<10
福隆海水浴場,福隆海水浴場左,乙,2002/7/29 上午 10:56:00,6011,28.4,7.1,1.8,--,--,--,0.15,0.005,30.8,0.52,--,--,0.011,<10,10
通霄海水浴場,通霄海水浴場右,乙,2002/7/29 上午 10:30:00,6043,29.7,8.1,7.9,--,--,--,0.05,0.004,33.7,0.478,--,--,0.02,35,31
通霄海水浴場,通霄海水浴場中,乙,2002/7/29 上午 10:15:00,6042,29.7,8.1,8.1,--,--,--,0.05,0.003,33.8,0.678,--,--,0.017,<10,10
通霄海水浴場,通霄海水浴場左,乙,2002/7/29 上午 10:00:00,6041,29.7,8.1,7.7,--,--,--,0.05,0.004,33.7,0.41,--,--,0.017,30,53
旗津海水浴場,旗津海水浴場左,乙,2002/7/29 上午 09:20:00,6081,29.8,8.13,12,--,--,--,0.05,0.002,32.9,0.54,--,--,0.01,55,<10
旗津海水浴場,旗津海水浴場中,乙,2002/7/29 上午 09:15:00,6082,29.8,8.13,8.4,--,--,--,0.05,0.002,32.9,0.59,--,--,0.008,60,31
旗津海水浴場,旗津海水浴場右,乙,2002/7/29 上午 09:10:00,6083,29.8,8.13,7.7,--,--,--,0.05,0.001,33,0.49,--,--,0.013,59,<10
大安海水浴場,大安海水浴場右,乙,2002/7/29 上午 08:45:00,6053,29.3,8,55,--,--,--,0.11,0.019,33.7,0.969,--,--,0.019,1700,124
黃金海岸休憩海域,黃金海岸休憩海域左,乙,2002/7/29 上午 08:35:00,6071,30.2,8.2,19,--,--,--,0.05,0.028,31.3,0.59,--,--,0.04,140000,288
大安海水浴場,大安海水浴場中,乙,2002/7/29 上午 08:30:00,6052,29.3,8,60,--,--,--,0.13,0.015,33.7,1.24,--,--,0.015,1600,64
黃金海岸休憩海域,黃金海岸休憩海域中,乙,2002/7/29 上午 08:28:00,6072,30.2,8.2,28,--,--,--,0.07,0.031,31.3,0.44,--,--,0.037,140000,192
大安海水浴場,大安海水浴場左,乙,2002/7/29 上午 08:15:00,6051,29.2,8,60,--,--,--,0.12,0.016,33.7,1.16,--,--,0.016,1400,64
黃金海岸休憩海域,黃金海岸休憩海域右,乙,2002/7/29 上午 08:00:00,6073,30.2,8.2,21,--,--,--,0.05,0.037,31.3,0.68,--,--,0.042,190000,238
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域右,甲,2002/7/29 上午 06:00:00,6093,28,8.15,7.9,--,--,--,0.05,0.001,33.2,0.4,--,--,0.008,5400,164
墾丁跳石休憩海岸,墾丁跳石(南灣休憩區海岸)休憩海域中,甲,2002/7/29 上午 05:48:00,6092,28,8.15,2.3,--,--,--,0.05,0.001,33.2,0.49,--,--,0.01,5400,271
